INFO | 2025-11-28 14:42:53+0100 : Found container kathara_lele1-biiszkydq3tetmptpltlq_as1267_0_iQnk9KyBDBJPmZROLT6Tw by search for device as1267_0
INFO | 2025-11-28 14:42:55+0100 : Found container kathara_lele1-biiszkydq3tetmptpltlq_as42_0_iQnk9KyBDBJPmZROLT6Tw by search for device as42_0
INFO | 2025-11-28 14:42:57+0100 : Found container kathara_lele1-biiszkydq3tetmptpltlq_rs1_v6_iQnk9KyBDBJPmZROLT6Tw by search for device rs1_v6
INFO | 2025-11-28 14:42:59+0100 : Found container kathara_lele1-biiszkydq3tetmptpltlq_rs1_v4_iQnk9KyBDBJPmZROLT6Tw by search for device rs1_v4
INFO | 2025-11-28 14:43:00+0100 : Found container kathara_lele1-biiszkydq3tetmptpltlq_switch_iQnk9KyBDBJPmZROLT6Tw by search for device switch
INFO | 2025-11-28 14:43:09+0100 : Found 7 running containers
INFO | 2025-11-28 14:43:09+0100 : Found container kathara_lele1-biiszkydq3tetmptpltlq_as112_0_iQnk9KyBDBJPmZROLT6Tw by search for device as112_0
INFO | 2025-11-28 14:43:10+0100 : Found container kathara_lele1-biiszkydq3tetmptpltlq_as137_0_iQnk9KyBDBJPmZROLT6Tw by search for device as137_0
INFO | 2025-11-28 14:43:12+0100 : Found container kathara_lele1-biiszkydq3tetmptpltlq_as1267_0_iQnk9KyBDBJPmZROLT6Tw by search for device as1267_0
INFO | 2025-11-28 14:43:14+0100 : Found container kathara_lele1-biiszkydq3tetmptpltlq_as42_0_iQnk9KyBDBJPmZROLT6Tw by search for device as42_0
INFO | 2025-11-28 14:43:16+0100 : Found container kathara_lele1-biiszkydq3tetmptpltlq_rs1_v6_iQnk9KyBDBJPmZROLT6Tw by search for device rs1_v6
INFO | 2025-11-28 14:43:18+0100 : Found container kathara_lele1-biiszkydq3tetmptpltlq_rs1_v4_iQnk9KyBDBJPmZROLT6Tw by search for device rs1_v4
INFO | 2025-11-28 14:43:20+0100 : Found container kathara_lele1-biiszkydq3tetmptpltlq_switch_iQnk9KyBDBJPmZROLT6Tw by search for device switch
INFO | 2025-11-28 14:43:29+0100 : Found 7 running containers
INFO | 2025-11-28 14:43:29+0100 : Found container kathara_lele1-biiszkydq3tetmptpltlq_as112_0_iQnk9KyBDBJPmZROLT6Tw by search for device as112_0
INFO | 2025-11-28 14:43:30+0100 : Found container kathara_lele1-biiszkydq3tetmptpltlq_as137_0_iQnk9KyBDBJPmZROLT6Tw by search for device as137_0
INFO | 2025-11-28 14:43:32+0100 : Found container kathara_lele1-biiszkydq3tetmptpltlq_as1267_0_iQnk9KyBDBJPmZROLT6Tw by search for device as1267_0
INFO | 2025-11-28 14:43:34+0100 : Found container kathara_lele1-biiszkydq3tetmptpltlq_as42_0_iQnk9KyBDBJPmZROLT6Tw by search for device as42_0
INFO | 2025-11-28 14:43:36+0100 : Found container kathara_lele1-biiszkydq3tetmptpltlq_rs1_v6_iQnk9KyBDBJPmZROLT6Tw by search for device rs1_v6
INFO | 2025-11-28 14:43:38+0100 : Found container kathara_lele1-biiszkydq3tetmptpltlq_rs1_v4_iQnk9KyBDBJPmZROLT6Tw by search for device rs1_v4
INFO | 2025-11-28 14:43:40+0100 : Found container kathara_lele1-biiszkydq3tetmptpltlq_switch_iQnk9KyBDBJPmZROLT6Tw by search for device switch
INFO | 2025-11-28 14:43:48+0100 : Found 7 running containers
INFO | 2025-11-28 14:43:48+0100 : Found container kathara_lele1-biiszkydq3tetmptpltlq_as112_0_iQnk9KyBDBJPmZROLT6Tw by search for device as112_0
INFO | 2025-11-28 14:43:50+0100 : Found container kathara_lele1-biiszkydq3tetmptpltlq_as137_0_iQnk9KyBDBJPmZROLT6Tw by search for device as137_0
INFO | 2025-11-28 14:43:52+0100 : Found container kathara_lele1-biiszkydq3tetmptpltlq_as1267_0_iQnk9KyBDBJPmZROLT6Tw by search for device as1267_0
INFO | 2025-11-28 14:43:54+0100 : Found container kathara_lele1-biiszkydq3tetmptpltlq_as42_0_iQnk9KyBDBJPmZROLT6Tw by search for device as42_0
INFO | 2025-11-28 14:43:56+0100 : Found container kathara_lele1-biiszkydq3tetmptpltlq_rs1_v6_iQnk9KyBDBJPmZROLT6Tw by search for device rs1_v6
INFO | 2025-11-28 14:43:58+0100 : Found container kathara_lele1-biiszkydq3tetmptpltlq_rs1_v4_iQnk9KyBDBJPmZROLT6Tw by search for device rs1_v4
INFO | 2025-11-28 14:44:00+0100 : Found container kathara_lele1-biiszkydq3tetmptpltlq_switch_iQnk9KyBDBJPmZROLT6Tw by search for device switch
INFO | 2025-11-28 14:44:02+0100 : Requesting rib diff for rs1_v4, IP Type: 4, config: ixp.conf
INFO | 2025-11-28 14:44:02+0100 : Executing 'bgpctl show rib' on rs1_v4
INFO | 2025-11-28 14:44:02+0100 : Executing command on rs1_v4: bgpctl show rib
INFO | 2025-11-28 14:44:02+0100 : Command completed on rs1_v4
INFO | 2025-11-28 14:44:02+0100 : Processed 717 lines, added 710 routes, skipped 5
INFO | 2025-11-28 14:44:02+0100 : RibDump parsed: 710 routes, 1 errors
INFO | 2025-11-28 14:44:03+0100 : Processed 15573 lines, added 14723 routes, skipped 0
INFO | 2025-11-28 14:44:03+0100 : RibDump parsed: 14723 routes, 0 errors
INFO | 2025-11-28 14:44:03+0100 : RIB diff completed: 710 matching, 14013 not loaded, 0 extra
INFO | 2025-11-28 14:44:13+0100 : Requesting rib diff for rs1_v6, IP Type: 6, config: ixp.conf
INFO | 2025-11-28 14:44:13+0100 : Executing 'bgpctl show rib' on rs1_v6
INFO | 2025-11-28 14:44:13+0100 : Executing command on rs1_v6: bgpctl show rib
INFO | 2025-11-28 14:44:13+0100 : Command completed on rs1_v6
INFO | 2025-11-28 14:44:13+0100 : Processed 88 lines, added 82 routes, skipped 5
INFO | 2025-11-28 14:44:13+0100 : RibDump parsed: 82 routes, 1 errors
INFO | 2025-11-28 14:44:13+0100 : Processed 13605 lines, added 13463 routes, skipped 0
INFO | 2025-11-28 14:44:13+0100 : RibDump parsed: 13463 routes, 0 errors
INFO | 2025-11-28 14:44:13+0100 : RIB diff completed: 82 matching, 13381 not loaded, 0 extra
INFO | 2025-11-28 14:44:16+0100 : Found 7 running containers
INFO | 2025-11-28 14:44:16+0100 : Found container kathara_lele1-biiszkydq3tetmptpltlq_as112_0_iQnk9KyBDBJPmZROLT6Tw by search for device as112_0
INFO | 2025-11-28 14:44:17+0100 : Found container kathara_lele1-biiszkydq3tetmptpltlq_as137_0_iQnk9KyBDBJPmZROLT6Tw by search for device as137_0
INFO | 2025-11-28 14:44:19+0100 : Found container kathara_lele1-biiszkydq3tetmptpltlq_as1267_0_iQnk9KyBDBJPmZROLT6Tw by search for device as1267_0
INFO | 2025-11-28 14:44:21+0100 : Found container kathara_lele1-biiszkydq3tetmptpltlq_as42_0_iQnk9KyBDBJPmZROLT6Tw by search for device as42_0
INFO | 2025-11-28 14:44:23+0100 : Found container kathara_lele1-biiszkydq3tetmptpltlq_rs1_v6_iQnk9KyBDBJPmZROLT6Tw by search for device rs1_v6
INFO | 2025-11-28 14:44:25+0100 : Found container kathara_lele1-biiszkydq3tetmptpltlq_rs1_v4_iQnk9KyBDBJPmZROLT6Tw by search for device rs1_v4
INFO | 2025-11-28 14:44:27+0100 : Found container kathara_lele1-biiszkydq3tetmptpltlq_switch_iQnk9KyBDBJPmZROLT6Tw by search for device switch
INFO | 2025-11-28 14:44:29+0100 : Requesting rib diff for rs1_v6, IP Type: 4, config: ixp.conf
INFO | 2025-11-28 14:44:29+0100 : Executing 'bgpctl show rib' on rs1_v6
